当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,collected_at
1,SZ000725,京东方Ａ,7.82,0.312018,3.99,2026-06-26 15:13:11
2,SZ001399,N惠科,45.7,160.67206,351.58,2026-06-26 15:13:11
3,SH600667,太极实业,27.35,2.20441,8.06,2026-06-26 15:13:11
4,SH600584,长电科技,102.72,-1.427808,-1.39,2026-06-26 15:13:11
5,SH600522,中天科技,61.29,-6.129,-10.0,2026-06-26 15:13:11
6,SZ002185,华天科技,22.91,0.5223479999999999,2.28,2026-06-26 15:13:11
7,SZ002354,天娱数科,8.83,0.8794680000000001,9.96,2026-06-26 15:13:11
8,SZ000100,TCL科技,5.42,0.08129999999999998,1.5,2026-06-26 15:13:11
9,SZ000021,深科技,54.44,1.2684520000000001,2.33,2026-06-26 15:13:11
10,SH600703,三安光电,21.98,0.314314,1.43,2026-06-26 15:13:11
11,SZ000636,风华高科,78.65,-0.95953,-1.22,2026-06-26 15:13:11
12,SH603986,兆易创新,755.1,-19.557090000000002,-2.59,2026-06-26 15:13:11
13,SH600487,亨通光电,112.02,-10.003385999999999,-8.93,2026-06-26 15:13:11
14,SH600176,中国巨石,73.95,3.2907750000000004,4.45,2026-06-26 15:13:11
15,SH600206,有研新材,61.06,5.330538000000001,8.73,2026-06-26 15:13:11
16,SZ002129,TCL中环,11.19,1.122357,10.03,2026-06-26 15:13:11
17,SZ002008,大族激光,153.9,1.1080800000000002,0.72,2026-06-26 15:13:11
18,SZ300088,长信科技,11.68,1.5779679999999998,13.51,2026-06-26 15:13:11
19,SZ002579,中京电子,22.5,1.26675,5.63,2026-06-26 15:13:11
20,SZ002202,金风科技,23.34,1.5357720000000001,6.58,2026-06-26 15:13:11
21,SZ300059,东方财富,20.06,-0.9969819999999998,-4.97,2026-06-26 15:13:11
22,SZ000823,超声电子,28.46,2.848846,10.01,2026-06-26 15:13:11
23,SH600552,凯盛科技,29.6,2.96,10.0,2026-06-26 15:13:11
24,SH601138,工业富联,70.72,-5.756608,-8.14,2026-06-26 15:13:11
25,SH600172,黄河旋风,16.92,-1.250388,-7.39,2026-06-26 15:13:11
26,SH601991,大唐发电,7.24,-0.22299200000000002,-3.08,2026-06-26 15:13:11
27,SZ301526,国际复材,52.39,4.935138,9.42,2026-06-26 15:13:11
28,SZ300308,中际旭创,1262.94,-57.71635800000001,-4.57,2026-06-26 15:13:11
